MAG,glycolysis,gluconeogenesis,TCA Cycle,NAD(P)H-quinone oxidoreductase,NADH-quinone oxidoreductase,F-type ATPase,V-type ATPase,Cytochrome c oxidase,Ubiquinol-cytochrome c reductase,Cytochrome o ubiquinol oxidase,"Cytochrome c oxidase, cbb3-type",Cytochrome bd complex,RuBisCo,CBB Cycle,Wood-Ljungdahl,3-Hydroxypropionate Bicycle,4-Hydroxybutyrate/3-hydroxypropionate,diacetylchitobiose deacetylase,glucoamylase,D-galacturonate epimerase,chitinase,beta-N-acetylhexosaminidase,D-galacturonate isomerase,alpha-amylase,beta-glucosidase,pullulanase,nitrite oxidation,dissim nitrate reduction,DNRA,nitrite reduction,nitric oxide reduction,nitrous-oxide reduction,dissimilatory sulfate < > APS,dissimilatory sulfite < > sulfide,thiosulfate oxidation,alt thiosulfate oxidation tsdA,sulfur dioxygenase,sulfite dehydrogenase (quinone),sulfide oxidation,sulfur assimilation,transporter: phosphonate,transporter: phosphate,Flagellum,Chemotaxis,Methanogenesis via trimethylamine,Methanogenesis via CO2,Coenzyme B/Coenzyme M regeneration,anoxygenic type-II reaction center,Retinal biosynthesis,Retinal from apo-carotenals,Entner-Doudoroff Pathway,Mixed acid: Lactate,Mixed acid: Formate to CO2 & H2,Mixed acid: Acetate,"Mixed acid: Ethanol, Acetate to Acetylaldehyde","Mixed acid: Ethanol, Acetyl-CoA to Acetylaldehyde (reversible)","Mixed acid: PEP to Succinate via OAA, malate & fumarate",Naphthalene degradation to salicylate,Biofilm PGA Synthesis protein,Competence-related core components,Glyoxylate shunt,Sulfolipid biosynthesis,CP-lyase operon,Type I Secretion,Twin Arginine Targeting,Cobalt transporter CbiMQ,Cobalt transporter CorA,Copper transporter CopA,Fe-Mn transporter MntH,starch/glycogen synthesis,starch/glycogen degradation,polyhydroxybutyrate synthesis,bidirectional polyphosphate
bin.1.Bacteroidota,0.67,0,0.5,0,0.98,0.5,0,1,0,0,0.25,0,1,0.75,0,0.18,0.2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.04,0.25,0,0,0.2,0,0.5,0,0.5,0,0,0,0,0,0.5625,0,0,0,0,0,0.09,0,0.5,0,1,1,1,0.66,1,0,0.5
bin.10.Actinobacteriota,0.67,0,0.88,0,0.98,0.5,0,0.5,0,0,0,0,0,0,0,0.06,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.33,1,0,0.5,0,0,0,0,0.25,0,0,0,0.501,0,0,0,0.3955,0,0,0.14,0,0,0,0,0.75,0,0,1,0,0,0,0.167,1
bin.11.Gammaproteobacteria,0.44,0,0.88,0,0.77,0.75,0,0.25,0.99,0.25,1,1,0,0,0,0.24,0.2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.96,1,0,0,1,0,0.99,0.5,0.09,0.75,0,0,0,0,0,1,0.75,0,0.501,0,1,0,0.3955,0,0.25,0.14,0,0,0,0,0.75,0,1,1,0,0,0,0.667,1
bin.12.Cyanobacteria,0.67,0,0.25,0.7,0,0.5,0,0.25,0,0,0,0,0,0,0,0.18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.66,1,0,0.12,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0.083,0,0.25,0.07,0,0.5,0,0,0.25,1,1,0,0,0.99,1,0,1
bin.14.Gemmatimonadota,0.78,0.89,0.5,0,0.84,0.875,0,0.75,0,0,0.25,0,0,0,0,0.24,0.3,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0.16,0,0,0,1,0,0,1,0,0.75,0,0,0,0,0.5,0,0.25,0,0,0,1,0,0.333,0,0,0.07,0,0,0.09,0.33,0.5,0,1,1,1,0.66,1,0.167,1
bin.15.Actinobacteriota,0.78,0,0.5,0.07,0.07,1,0,0.25,0,0,0,0,0,0,0,0.18,0.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.334,0,1,1,0.1455,0,0,0.07,0,0,0,0,0.25,0,1,1,0,0.33,1,0.167,1
bin.16.Acidobacteriota,0.44,0,0.38,0,0.84,0.875,0,1,0,0,0,0,0,0,0,0.06,0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1,0,0.12,0,0,0,0,0.75,0,0.5,0,0,0,0,1,0.0625,0,0,0.14,1,0,0.09,0,0.25,0,1,1,0,0.66,1,0.167,1
bin.17.Gammaproteobacteria,0.67,0,0.62,0.07,0.98,0.375,0,0.25,0.99,0,0,1,1,0.83,0.17,0.29,0.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.96,1,1,0,1,0,0,1,0,0.25,0,0,0,0,0.25,0,0.75,0,0.501,0,1,0,0.458,0.04,0,0.07,1,0,0,0.66,0.75,0,1,1,0,0,0,0.667,1
bin.18.Cyanobacteria,0.67,0.78,0.62,0.98,0,1,0,0.75,0,0,0.5,1,1,1,0,0.24,0.1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.99,1,0,0.62,0,0,0,0,0.5,1,0.75,0,0,0,1,0,0.083,0,0,0.14,0,0.5,0,0.66,0.5,1,1,0,0,0.99,1,0,0.5
bin.19.Cyanobacteria,0.44,0,0.25,0.77,0,0.5,0,0.75,0,0,0.5,1,0,0,0,0.12,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.99,1,0,0.5,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.07,0,0.5,0,0.33,0.5,1,1,1,0,0.99,1,0,1
